mes,descripcion,ventas_hl
2026-01,item14,39.88
2026-01,item7,84.31
2026-01,item17,33.71
2026-01,item6,95.87
2026-01,item10,18.05
2026-01,item2,86.3
2026-01,item16,66.82
2026-01,item9,12.82
2026-01,item2,80.25
2026-01,item18,33.67
2026-01,item9,59.45
2026-01,item14,79.05
2026-01,item12,70.58
2026-01,item6,17.05
2026-01,item3,80.46
2026-01,item12,8.76
2026-01,item18,70.78
2026-01,item13,9.33
2026-01,item2,58.29
2026-01,item12,47.23
2026-01,item9,89.34
2026-01,item10,58.49
2026-01,item16,96.31
2026-01,item13,28.72
2026-01,item7,13.66
2026-01,item9,54.93
2026-01,item7,55.76
2026-01,item15,90.58
2026-01,item7,86.87
2026-01,item4,55.63
2026-01,item14,68.52
2026-01,item2,39.75
2026-01,item9,20.89
2026-01,item20,63.42
2026-01,item3,9.08
2026-01,item2,13.22
2026-01,item12,78.71
2026-01,item15,90.65
2026-01,item7,31.33
2026-01,item5,67.43
2026-01,item10,75.7
2026-01,item12,27.2
2026-01,item13,89.99
2026-01,item17,4.87
2026-01,item20,88.03
2026-01,item17,46.59
2026-01,item12,94.64
2026-01,item6,73.48
2026-01,item19,6.64
2026-01,item14,11.0
2026-01,item16,46.94
2026-01,item18,36.98
2026-01,item8,24.15
2026-01,item5,2.66
2026-01,item16,8.27
2026-01,item10,28.68
2026-01,item15,79.04
2026-01,item13,84.34
2026-01,item6,24.38
2026-01,item14,48.32
2026-01,item16,47.51
2026-01,item5,23.7
2026-01,item1,24.95
2026-01,item19,70.21
2026-01,item4,50.27
2026-01,item18,19.56
2026-01,item15,43.2
2026-01,item7,69.04
2026-01,item7,59.13
2026-01,item13,24.14
2026-01,item19,86.57
2026-01,item13,50.91
2026-01,item16,32.95
2026-01,item8,21.27
2026-01,item4,59.34
2026-01,item9,63.64
2026-01,item16,30.83
2026-01,item11,25.85
2026-01,item9,35.48
2026-01,item9,2.55
2026-01,item3,77.59
2026-01,item14,34.47
2026-01,item2,44.47
2026-01,item7,16.28
2026-01,item4,48.08
2026-01,item17,33.25
2026-01,item5,16.0
2026-01,item10,76.77
2026-01,item4,93.63
2026-01,item20,50.74
2026-01,item2,92.46
2026-01,item15,34.3
2026-01,item3,80.53
2026-01,item12,7.63
2026-01,item12,42.08
2026-01,item3,34.3
2026-01,item10,20.72
2026-01,item1,35.49
2026-01,item5,52.26
2026-01,item17,65.08
2026-01,item5,21.62
2026-01,item3,35.49
2026-01,item3,48.16
2026-01,item1,94.06
2026-01,item13,40.46
2026-01,item11,51.26
2026-01,item18,80.81
2026-01,item6,47.43
2026-01,item9,36.87
2026-01,item4,9.48
2026-01,item8,70.2
2026-01,item1,8.82
2026-01,item9,50.33
2026-01,item12,48.35
2026-01,item4,79.76
2026-01,item14,11.79
2026-01,item18,83.89
2026-01,item5,0.97
2026-01,item8,58.73
2026-01,item19,72.57
2026-01,item5,84.84
2026-01,item11,69.61
2026-01,item13,2.86
2026-01,item5,43.7
2026-01,item4,54.58
2026-01,item19,52.58
2026-01,item6,5.65
2026-01,item13,62.39
2026-01,item3,3.04
2026-01,item13,94.22
2026-01,item9,95.93
2026-01,item10,6.76
2026-01,item12,91.34
2026-01,item15,14.5
2026-01,item9,23.98
2026-01,item2,54.4
2026-01,item15,90.24
2026-01,item5,26.31
2026-01,item1,48.57
2026-01,item1,6.54
2026-01,item17,14.62
2026-01,item5,11.78
2026-01,item9,92.49
2026-01,item14,74.77
2026-01,item7,16.22
2026-01,item1,71.84
2026-01,item11,16.54
2026-01,item11,46.2
2026-01,item15,5.24
2026-01,item10,76.03
2026-01,item4,40.2
2026-01,item2,11.95
2026-01,item18,76.15
2026-01,item9,19.29
2026-01,item3,30.16
2026-01,item9,18.19
2026-01,item2,38.52
2026-01,item9,86.18
2026-01,item7,87.28
2026-01,item17,67.08
2026-01,item4,47.95
2026-01,item17,58.21
2026-01,item4,48.03
2026-01,item16,34.79
2026-01,item2,44.55
2026-01,item18,89.96
2026-01,item14,88.56
2026-01,item3,71.1
2026-01,item10,14.27
2026-01,item16,14.58
2026-01,item6,83.41
2026-01,item13,52.78
2026-01,item2,52.34
2026-01,item2,92.11
2026-01,item10,15.42
2026-01,item13,10.08
2026-01,item7,50.87
2026-01,item7,98.08
2026-01,item7,91.15
2026-01,item13,69.72
2026-01,item9,51.05
2026-01,item5,85.73
2026-01,item4,21.95
2026-01,item6,53.26
2026-01,item18,56.91
2026-01,item19,94.45
2026-01,item13,87.63
2026-01,item10,15.48
2026-01,item19,6.03
2026-01,item10,13.15
2026-01,item18,99.92
2026-01,item9,65.4
2026-01,item14,35.19
2026-01,item5,7.48
2026-01,item5,28.47
2026-01,item1,71.17
2026-01,item19,89.13
2026-01,item16,22.84
2026-01,item12,59.21
2026-01,item19,40.17
2026-01,item2,34.58
2026-01,item20,85.97
2026-01,item5,56.81
2026-01,item12,97.56
2026-01,item16,93.43
2026-01,item16,25.69
2026-01,item1,45.62
2026-01,item19,13.64
2026-01,item19,61.48
2026-01,item3,45.85
2026-01,item12,31.99
2026-01,item6,31.43
2026-01,item1,8.88
2026-01,item18,84.75
2026-01,item18,53.38
2026-01,item17,41.04
2026-01,item18,24.71
2026-01,item19,10.96
2026-01,item13,46.73
2026-01,item8,56.62
2026-01,item1,40.33
2026-01,item19,18.47
2026-01,item5,87.8
2026-01,item18,26.95
2026-01,item9,94.35
2026-01,item6,7.18
2026-01,item12,75.37
2026-01,item4,68.97
2026-01,item18,34.5
2026-01,item14,38.94
2026-01,item3,55.03
2026-01,item7,67.45
2026-01,item13,96.83
2026-01,item14,74.19
2026-01,item11,17.55
2026-01,item16,14.83
2026-01,item15,67.62
2026-01,item9,29.27
2026-01,item5,98.83
2026-01,item12,45.93
2026-01,item18,6.55
2026-01,item20,56.79
2026-01,item18,76.94
2026-01,item3,57.05
2026-01,item19,61.6
2026-01,item8,76.41
2026-01,item18,58.46
2026-01,item16,83.53
2026-01,item13,12.12
2026-01,item3,30.48
2026-01,item12,51.53
2026-01,item12,33.08
2026-01,item9,13.64
2026-01,item6,25.58
2026-01,item17,59.5
2026-01,item2,65.48
2026-01,item4,34.58
2026-01,item4,44.99
2026-01,item1,27.6
2026-01,item2,70.32
2026-01,item20,2.43
2026-01,item16,74.47
2026-01,item16,22.57
2026-01,item2,26.68
2026-01,item19,86.82
2026-01,item6,8.39
2026-01,item16,48.25
2026-01,item8,29.3
2026-01,item15,72.8
2026-01,item9,37.0
2026-01,item15,65.84
2026-01,item16,16.3
2026-01,item2,79.23
2026-01,item2,39.59
2026-01,item14,70.43
2026-01,item19,7.5
2026-01,item18,50.2
2026-01,item14,8.64
2026-01,item14,8.11
2026-01,item5,40.88
2026-01,item17,59.01
2026-01,item20,69.14
2026-01,item19,83.13
2026-01,item8,11.91
2026-01,item1,13.67
2026-01,item20,83.66
2026-01,item13,76.93
2026-01,item7,0.45
2026-01,item8,81.97
2026-01,item4,66.78
2026-01,item10,53.28
2026-01,item15,92.65
2026-01,item2,90.41
2026-01,item6,29.39
2026-01,item1,9.76
2026-01,item18,55.22
2026-01,item4,96.29
2026-01,item20,78.8
2026-01,item16,97.82
2026-01,item11,57.14
2026-01,item12,58.15
2026-01,item16,58.2
2026-01,item13,39.11
2026-01,item14,74.91
2026-01,item9,4.49
2026-01,item11,14.8
2026-01,item4,34.57
2026-01,item6,92.97
2026-01,item15,85.37
2026-01,item5,93.04
2026-01,item17,3.02
2026-01,item18,13.13
2026-01,item7,19.12
2026-01,item13,78.54
2026-01,item8,72.07
2026-01,item11,1.95
2026-01,item3,87.82
2026-01,item1,0.86
2026-01,item18,87.92
2026-01,item11,99.38
2026-01,item14,20.85
2026-01,item16,73.83
2026-01,item11,45.01
2026-01,item9,47.36
2026-01,item1,54.17
2026-01,item5,46.32
2026-01,item10,68.4
2026-01,item7,74.71
2026-01,item16,5.65
2026-01,item15,83.43
2026-01,item18,85.39
2026-01,item13,67.92
2026-01,item20,79.71
2026-01,item6,28.45
2026-01,item20,64.77
2026-01,item18,7.96
2026-01,item11,1.63
2026-01,item19,29.03
2026-01,item4,61.59
2026-01,item8,22.83
2026-01,item5,95.62
2026-01,item13,8.75
2026-01,item12,5.68
2026-01,item14,86.85
2026-01,item3,31.24
2026-01,item18,30.18
2026-01,item6,93.58
2026-01,item1,66.92
2026-01,item1,74.87
2026-01,item17,18.28
2026-01,item18,55.27
2026-01,item11,55.44
2026-01,item1,72.88
2026-01,item1,20.42
2026-01,item17,20.15
2026-01,item16,5.55
2026-01,item6,34.85
2026-01,item11,94.58
2026-01,item15,5.44
2026-01,item10,92.16
2026-01,item19,9.92
2026-01,item5,14.86
2026-01,item2,93.76
2026-01,item19,38.37
2026-01,item17,70.86
2026-01,item5,50.54
2026-01,item14,8.21
2026-01,item15,28.74
2026-01,item15,25.19
2026-01,item7,41.51
2026-01,item11,68.6
2026-01,item15,44.31
2026-01,item3,4.49
2026-01,item7,50.64
2026-01,item16,39.6
2026-01,item4,48.07
2026-01,item9,24.76
2026-01,item20,84.6
2026-01,item20,47.77
2026-01,item3,87.5
2026-01,item18,6.66
2026-01,item2,35.28
2026-01,item5,65.31
2026-01,item12,89.72
2026-01,item13,18.23
2026-01,item7,93.14
2026-01,item18,14.79
2026-01,item13,68.71
2026-01,item10,97.66
2026-01,item14,18.9
2026-01,item10,34.59
2026-01,item18,44.15
2026-01,item3,85.44
2026-01,item10,60.92
2026-01,item7,16.43
2026-01,item13,74.6
2026-01,item1,78.54
2026-01,item3,10.02
2026-01,item15,91.02
2026-01,item7,17.94
2026-01,item7,28.54
2026-01,item2,16.51
2026-01,item10,72.47
2026-01,item10,95.52
2026-01,item15,18.98
2026-01,item18,1.28
2026-01,item2,35.89
2026-01,item5,24.6
2026-01,item10,14.73
2026-01,item7,50.55
2026-01,item9,30.21
2026-01,item6,22.34
2026-01,item15,36.4
2026-01,item2,56.45
2026-01,item8,76.26
2026-01,item12,40.32
2026-01,item7,61.53
2026-01,item12,39.55
2026-01,item1,93.64
2026-01,item18,0.45
2026-01,item5,68.39
2026-01,item6,16.64
2026-01,item5,19.48
2026-01,item19,24.24
2026-01,item12,5.35
2026-01,item1,34.06
2026-01,item12,21.69
2026-01,item14,31.9
2026-01,item3,93.81
2026-01,item1,30.53
2026-01,item12,93.18
2026-01,item4,38.97
2026-01,item18,74.13
2026-01,item9,17.33
2026-01,item18,52.84
2026-01,item17,68.34
2026-01,item9,79.42
2026-01,item18,1.01
2026-01,item14,5.98
2026-01,item12,95.59
2026-01,item19,97.71
2026-01,item16,11.58
2026-01,item3,86.31
2026-01,item16,76.38
2026-01,item20,13.1
2026-01,item3,30.62
2026-01,item17,52.03
2026-01,item9,19.98
2026-01,item2,55.49
2026-01,item6,25.21
2026-01,item9,48.73
2026-01,item13,7.44
2026-01,item16,39.48
2026-01,item5,29.43
2026-01,item19,12.22
2026-01,item4,59.09
2026-01,item11,45.23
2026-01,item12,85.64
2026-01,item5,67.43
2026-01,item19,29.36
2026-01,item2,17.61
2026-01,item10,87.45
2026-01,item15,99.45
2026-01,item2,5.5
2026-01,item10,68.1
2026-01,item1,92.97
2026-01,item5,99.51
2026-01,item17,45.83
2026-01,item16,46.47
2026-01,item6,4.75
2026-01,item2,84.65
2026-01,item1,28.29
2026-01,item2,47.02
2026-01,item18,61.82
2026-01,item16,77.14
2026-01,item19,75.19
2026-01,item16,29.58
2026-01,item8,17.98
2026-01,item16,97.66
2026-01,item11,72.45
2026-01,item14,53.56
2026-01,item5,70.13
2026-01,item14,3.98
2026-01,item9,80.89
2026-01,item1,40.46
2026-01,item20,47.8
2026-01,item7,99.65
2026-01,item1,42.2
2026-01,item4,33.38
2026-01,item1,11.65
2026-01,item18,77.59
2026-01,item9,18.07
2026-01,item16,10.8
2026-01,item11,18.78
2026-01,item16,23.66
2026-01,item5,44.82
2026-01,item13,67.51
2026-01,item1,12.41
2026-01,item1,91.8
2026-01,item4,38.47
2026-01,item15,42.97
2026-01,item3,81.53
2026-01,item5,25.9
2026-01,item17,86.53
2026-01,item12,64.94
2026-01,item16,78.24
2026-01,item8,63.5
2026-01,item2,51.62
2026-01,item20,91.32
2026-01,item16,23.57
2026-01,item11,78.93
2026-01,item7,80.21
2026-01,item18,91.41
2026-01,item18,93.7
2026-01,item17,15.27
2026-01,item17,45.41
2026-01,item13,97.93
2026-01,item15,36.06
2026-01,item20,77.32
2026-01,item6,53.06
2026-01,item16,46.83
2026-01,item1,36.6
2026-01,item3,33.52
2026-01,item4,23.14
2026-01,item6,94.22
2026-01,item16,9.27
2026-01,item10,5.61
2026-01,item12,73.29
2026-01,item4,56.19
2026-01,item12,85.69
2026-01,item20,92.17
2026-01,item4,75.97
2026-01,item9,13.85
2026-01,item10,93.22
2026-01,item12,17.17
2026-01,item7,90.29
2026-01,item17,75.62
2026-01,item15,12.11
2026-01,item9,76.21
2026-01,item11,67.01
2026-01,item19,20.88
2026-01,item1,28.58
2026-01,item12,14.87
2026-01,item14,90.3
2026-01,item17,67.25
2026-01,item6,37.51
2026-01,item12,71.14
2026-01,item20,96.82
2026-01,item14,19.58
2026-01,item20,84.1
2026-01,item16,48.72
2026-01,item2,72.43
2026-01,item14,53.12
2026-01,item16,38.0
2026-01,item6,15.36
2026-01,item14,64.26
2026-01,item15,36.42
2026-01,item11,14.23
2026-01,item5,44.31
2026-01,item3,91.53
2026-01,item14,45.99
2026-01,item17,69.45
2026-01,item20,82.3
2026-01,item9,36.52
2026-01,item18,43.74
2026-01,item2,33.45
2026-01,item13,34.34
2026-01,item7,73.42
2026-01,item5,77.01
2026-01,item10,73.24
2026-01,item20,43.34
2026-01,item4,62.3
2026-01,item13,87.54
2026-01,item12,84.4
2026-01,item4,31.01
2026-01,item20,12.8
2026-01,item2,58.13
2026-01,item13,72.1
2026-01,item8,97.48
2026-01,item14,22.04
2026-01,item12,30.18
2026-01,item7,6.15
2026-01,item7,42.46
2026-01,item13,53.4
2026-01,item12,42.88
2026-01,item7,1.83
2026-01,item18,47.48
2026-01,item17,76.7
2026-01,item14,25.55
2026-01,item7,42.54
2026-01,item13,4.57
2026-01,item16,35.62
2026-01,item6,30.57
2026-01,item13,9.05
2026-01,item15,48.07
2026-01,item20,37.78
2026-01,item3,68.35
2026-01,item4,25.51
2026-01,item5,48.57
2026-01,item7,23.68
2026-01,item12,94.34
2026-01,item15,82.25
2026-01,item12,81.67
2026-01,item3,45.15
2026-01,item3,28.95
2026-01,item14,93.54
2026-01,item13,57.3
2026-01,item15,61.16
2026-01,item6,84.12
2026-01,item11,42.27
2026-01,item13,61.14
2026-01,item13,33.33
2026-01,item15,32.47
2026-01,item5,27.08
2026-01,item1,14.37
2026-01,item13,75.89
2026-01,item4,55.67
2026-01,item2,47.62
2026-01,item6,8.67
2026-01,item11,53.33
2026-01,item3,73.2
2026-01,item15,89.88
2026-01,item2,94.18
2026-01,item5,33.57
2026-01,item15,23.72
2026-01,item10,60.84
2026-01,item13,86.17
2026-01,item11,44.99
2026-01,item5,22.73
2026-01,item5,26.84
2026-01,item3,69.87
2026-01,item2,47.77
2026-01,item16,63.21
2026-01,item14,81.52
2026-01,item14,84.36
2026-01,item4,46.68
2026-01,item3,61.4
2026-01,item18,2.08
2026-01,item3,7.82
2026-01,item8,82.25
2026-01,item14,22.36
2026-01,item9,12.71
2026-01,item8,39.12
2026-01,item2,36.73
2026-01,item3,60.26
2026-01,item18,87.55
2026-01,item18,64.93
2026-01,item4,13.09
2026-01,item5,15.23
2026-01,item15,27.01
2026-01,item13,12.71
2026-01,item13,29.57
2026-01,item9,67.87
2026-01,item2,46.26
